ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,rs_pct,flow_score,flow_txt,score
084370,유진테크,KOSDAQ150,136500.00,-1.37,156300.00,-12.67,0.94,0.42,191.27,-41.04,4,"50>150일선, 52주고가 75%↑",,,136500.00,,150150.00,,,83.48,50.00,-,63.90
010120,LS ELECTRIC,KOSPI200,201500.00,1.26,224000.00,-10.04,0.38,0.41,995.56,-39.85,4,"50>150일선, 52주고가 75%↑",,,201500.00,,221650.00,,,91.03,50.00,-,63.80
034730,SK,KOSPI200,541000.00,-1.99,628000.00,-13.85,0.63,0.30,746.13,-38.73,4,"종가>50일선, 52주고가 75%↑",,,541000.00,,595100.00,,,87.67,50.00,-,63.80
006400,삼성SDI,KOSPI200,539000.00,-1.28,600000.00,-10.17,0.39,0.27,2432.02,-25.45,4,"50>150일선, 52주고가 75%↑",,,539000.00,,592900.00,,,88.51,50.00,-,62.90
058610,에스피지,KOSDAQ150,98500.00,1.03,107600.00,-8.46,0.35,0.66,399.47,-40.56,4,"50>150일선, 52주고가 75%↑",,,98500.00,,108350.00,,,88.93,50.00,-,62.90
095340,ISC,KOSDAQ150,189000.00,-0.53,203500.00,-7.13,0.54,0.48,277.92,-35.38,4,"50>150일선, 52주고가 75%↑",,,189000.00,,207900.00,,,85.58,50.00,-,62.70
240810,원익IPS,KOSDAQ150,118300.00,0.34,127900.00,-7.51,0.51,0.53,831.40,-37.01,4,"50>150일선, 52주고가 75%↑",,,118300.00,,130130.00,,,83.90,50.00,-,61.90
039030,이오테크닉스,KOSDAQ150,466000.00,-0.43,489500.00,-4.80,0.69,0.53,529.02,-25.20,4,"50>150일선, 52주고가 75%↑",,,466000.00,,512600.00,,,80.54,50.00,-,61.60
003550,LG,KOSPI200,112000.00,-0.97,125700.00,-10.90,0.58,0.10,382.46,-39.75,5,52주고가 75%↑,,,112000.00,,123200.00,,,67.12,50.00,-,61.40
267270,HD건설기계,KOSPI200,142200.00,6.12,149700.00,-5.01,1.24,0.51,316.86,-34.62,4,"50>150일선, 52주고가 75%↑",,,142200.00,,156420.00,,,68.80,50.00,-,60.30
218410,RFHIC,KOSDAQ150,53800.00,3.26,54100.00,-0.55,1.45,0.72,213.17,-57.60,4,"50>150일선, 52주고가 75%↑",,,53800.00,,59180.00,,,65.44,50.00,-,60.20
437730,삼현,KOSDAQ150,48250.00,-2.33,52700.00,-8.44,1.26,0.35,120.97,-37.26,3,"50>150일선, 150>200일선, 52주고가 75%↑",,,48250.00,,53075.00,,,82.22,50.00,-,60.10
050890,쏠리드,KOSDAQ150,9360.00,2.86,9740.00,-3.90,3.12,0.52,82.28,-55.22,4,"50>150일선, 52주고가 75%↑",,,9360.00,,10296.00,,,42.37,50.00,-,59.80
272210,한화시스템,KOSPI200,78000.00,13.21,78400.00,-0.51,2.27,0.92,272.06,-57.61,4,"50>150일선, 52주고가 75%↑",,,78000.00,,85800.00,,,52.44,50.00,-,59.70
298040,효성중공업,KOSPI200,2858000.00,2.18,3265000.00,-12.47,0.66,0.65,1078.66,-39.73,4,"50>150일선, 52주고가 75%↑",,,2858000.00,,3143800.00,,,75.51,50.00,-,59.70
139130,iM금융지주,KOSPI200,18300.00,-0.81,19500.00,-6.15,0.53,0.34,66.15,-16.82,5,50>150일선,,,18300.00,,20130.00,,,62.08,50.00,-,59.40
000720,현대건설,KOSPI200,125700.00,1.37,142000.00,-11.48,0.62,0.26,1037.86,-36.64,4,"50>150일선, 52주고가 75%↑",,,125700.00,,138270.00,,,75.09,50.00,-,59.40
138040,메리츠금융지주,KOSPI200,126600.00,0.64,139100.00,-8.99,0.81,0.48,324.44,-15.49,5,52주저가 +30%↑,,,126600.00,,139260.00,,,57.89,50.00,-,59.30
051900,LG생활건강,KOSPI200,295500.00,-1.50,327000.00,-9.63,0.55,0.18,210.90,-11.92,5,150>200일선,,,295500.00,,325050.00,,,61.67,50.00,-,59.30
042700,한미반도체,KOSPI200,226000.00,-0.22,266000.00,-15.04,0.36,0.61,1477.91,-46.95,4,"50>150일선, 52주고가 75%↑",,,226000.00,,248600.00,,,78.44,50.00,-,59.30
403870,HPSP,KOSDAQ150,53500.00,-0.19,60300.00,-11.28,0.37,0.44,1143.65,-41.85,4,"50>150일선, 52주고가 75%↑",,,53500.00,,58850.00,,,78.03,50.00,-,59.20
062040,산일전기,KOSPI200,201000.00,2.66,215000.00,-6.51,0.75,0.65,599.58,-41.06,4,"50>150일선, 52주고가 75%↑",,,201000.00,,221100.00,,,72.57,50.00,-,59.10
108490,로보티즈,KOSDAQ150,309500.00,-0.32,352000.00,-12.07,0.75,0.58,1189.66,-33.30,3,"50>150일선, 150>200일선, 52주고가 75%↑",,,309500.00,,340450.00,,,86.42,50.00,-,59.00
257720,실리콘투,KOSDAQ150,42100.00,-0.82,55900.00,-24.69,0.41,0.14,701.13,-24.96,5,150>200일선,,,42100.00,,46310.00,,,58.73,50.00,-,57.60
131970,두산테스나,KOSDAQ150,79400.00,1.79,93000.00,-14.62,0.55,0.61,224.45,-59.67,4,"50>150일선, 52주고가 75%↑",,,79400.00,,87340.00,,,70.89,50.00,-,57.60
161390,한국타이어앤테크놀로지,KOSPI200,59100.00,2.07,69300.00,-14.72,0.65,0.89,161.61,-24.62,5,종가>50일선,,,59100.00,,65010.00,,,53.28,50.00,-,56.90
052690,한전기술,KOSPI200,137700.00,2.53,154100.00,-10.64,1.13,0.56,1007.64,-30.45,4,"50>150일선, 52주고가 75%↑",,,137700.00,,151470.00,,,60.41,50.00,-,56.80
032830,삼성생명,KOSPI200,281500.00,-1.23,329000.00,-14.44,0.47,0.20,1248.73,-45.50,4,"종가>50일선, 52주고가 75%↑",,,281500.00,,309650.00,,,69.64,50.00,-,56.70
011070,LG이노텍,KOSPI200,510000.00,-0.39,643000.00,-20.68,0.39,0.25,1417.24,-71.48,3,"종가>50일선, 50>150일선, 52주고가 75%↑",,,510000.00,,561000.00,,,84.32,50.00,-,56.50
003230,삼양식품,KOSPI200,1286000.00,1.74,1557000.00,-17.41,0.59,0.47,735.94,-22.76,5,150>200일선,,,1286000.00,,1414600.00,,,52.86,50.00,-,56.50
278470,에이피알,KOSPI200,353000.00,0.71,475000.00,-25.68,0.84,0.16,1114.99,-25.68,4,"종가>50일선, 52주고가 75%↑",,,353000.00,,388300.00,,,62.92,50.00,-,56.20
183300,코미코,KOSDAQ150,29000.00,4.32,30250.00,-4.13,0.79,0.78,151.21,-48.01,4,"50>150일선, 52주고가 75%↑",,,29000.00,,31900.00,,,63.34,50.00,-,56.10
006260,LS,KOSPI200,306000.00,0.82,338500.00,-9.60,0.54,0.62,368.91,-49.34,4,"50>150일선, 52주고가 75%↑",,,306000.00,,336600.00,,,65.02,50.00,-,55.50
017670,SK텔레콤,KOSPI200,87500.00,-1.02,106500.00,-17.84,0.33,0.24,972.29,-37.28,4,"종가>50일선, 52주고가 75%↑",,,87500.00,,96250.00,,,67.96,50.00,-,55.40
443060,HD현대마린솔루션,KOSPI200,241500.00,2.99,254000.00,-4.92,0.65,0.65,243.75,-15.85,4,"50>150일선, 200일선 상승",,"눌림 조건 충족, 손익비 1.4로 제외",241500.00,,265650.00,,,61.25,50.00,-,54.70
319400,현대무벡스,KOSDAQ150,21650.00,1.64,24800.00,-12.70,0.21,0.69,149.74,-57.04,3,"종가>50일선, 50>150일선, 52주고가 75%↑",,,21650.00,,23815.00,,,81.80,50.00,-,54.70
018260,삼성에스디에스,KOSPI200,216000.00,-0.23,246000.00,-12.20,0.35,0.23,422.67,-44.40,4,"종가>50일선, 52주고가 75%↑",,,216000.00,,237600.00,,,64.60,50.00,-,54.40
010060,OCI홀딩스,KOSPI200,200500.00,-0.50,303500.00,-33.94,0.31,0.20,533.35,-51.57,3,"종가>50일선, 50>150일선, 52주고가 75%↑",,,200500.00,,220550.00,,,79.28,50.00,-,54.30
004020,현대제철,KOSPI200,34350.00,-1.72,37200.00,-7.66,1.31,0.28,235.67,-31.85,4,"50>150일선, 52주고가 75%↑",,,34350.00,,37785.00,,,49.92,50.00,-,54.00
483650,달바글로벌,KOSPI200,172200.00,8.10,240000.00,-28.25,1.41,0.72,281.19,-39.15,4,"종가>50일선, 52주고가 75%↑",,,172200.00,,189420.00,,,47.82,50.00,-,53.80
